EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_5a_nivel_86306000,inp05_input_5b_nivel_D-12H_86306000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,226,-26,479,-5,-19,105,-9,-17,398,381,374.8204762234828,-17,-23.17952377651716,-6.179523776517158,6.179523776517158,38.18651410454088,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,224,-23,477,-4,-14,104,-9,-13,395,382,375.1632841169891,-13,-19.83671588301092,-6.836715883010925,6.836715883010925,46.74068406501384,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,221,-17,471,-3,-33,106,-3,4,387,391,376.6488874190225,4,-10.35111258097754,-14.35111258097754,14.35111258097754,205.9544323118919,387,16,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,231,-3,470,2,11,139,33,13,381,394,422.9388634785063,13,41.93886347850628,28.93886347850628,28.93886347850628,837.4578194276245,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,235,3,474,6,12,142,36,12,382,394,433.4358984200127,12,51.43589842001268,39.43589842001268,39.43589842001268,1555.190084193558,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,364,142,478,3,5,148,29,111,394,505,480.1454292221862,111,86.14542922218618,-24.85457077781382,24.85457077781382,617.7496885493566,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,374,151,484,8,6,145,8,120,394,514,461.4999613724915,120,67.4999613724915,-52.5000386275085,52.5000386275085,2756.254055889885,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,380,153,497,19,15,143,4,126,394,520,457.8910313496164,126,63.89103134961636,-62.10896865038364,62.10896865038364,3857.523986814339,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,384,153,535,51,39,141,-1,128,396,524,459.1086874711035,128,63.10868747110351,-64.89131252889649,64.89131252889649,4210.882441722919,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,387,152,567,70,32,140,-3,122,404,526,472.3212289214272,122,68.32122892142718,-53.67877107857282,53.67877107857282,2881.410464505826,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,391,120,614,18,7,137,-14,19,505,524,538.896454048931,19,33.89645404893099,14.89645404893099,14.89645404893099,221.9043432319125,505,361,2,Validacao
1,2,Validacao,2023,5,6,16,0,202305061600,2023-05-06 16:00,520,6,20.44384615384615,390,71,622,8,4,136,-15,-1,520,519,526.3000598523186,-1,6.300059852318554,7.300059852318554,7.300059852318554,53.2908738474332,520,1,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,395,49,623,5,2,138,-10,-7,524,517,526.1380389575863,-7,2.138038957586332,9.138038957586332,9.138038957586332,83.50375599036549,524,49,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,415,51,622,0,0,137,-8,-9,526,517,526.8988157934151,-9,0.8988157934151104,9.89881579341511,9.89881579341511,97.98655411196442,526,81,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,494,114,621,-1,-3,134,-7,-3,527,524,543.0455320637503,-3,16.04553206375033,19.04553206375033,19.04553206375033,362.7322915913419,527,9,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,540,153,615,-6,-17,133,-6,19,524,543,547.9100708508182,19,23.91007085081822,4.910070850818215,4.910070850818215,24.10879576005471,524,361,2,Validacao
1,2,Validacao,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,534,143,626,13,-4,131,-8,35,517,552,542.1919771001146,35,25.19197710011463,-9.808022899885373,9.808022899885373,96.19731320467588,517,1225,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,509,114,669,28,10,126,-11,-23,533,510,552.0961337355884,-23,19.09613373558841,42.09613373558841,42.09613373558841,1772.084475484545,533,529,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,497,44,678,9,0,125,-9,-56,553,497,555.5367544672307,-56,2.536754467230708,58.53675446723071,58.53675446723071,3426.551623556854,553,3136,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,506,12,659,-18,-18,123,-10,-56,560,504,549.3130467915246,-56,-10.68695320847542,45.31304679152458,45.31304679152458,2053.272209530896,560,3136,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,501,-40,594,-11,-1,122,-9,36,510,546,474.0430341879942,36,-35.95696581200582,-71.95696581200582,71.95696581200582,5177.804928870174,510,1296,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,423,-86,659,26,0,119,-7,1,518,519,507.6437977635788,1,-10.35620223642115,-11.35620223642115,11.35620223642115,128.9633292344968,518,1,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,387,-119,648,-15,-18,117,-6,-42,544,502,501.4575200753005,-42,-42.54247992469948,-0.542479924699478,0.542479924699478,0.2942844687019514,544,1764,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,377,-136,639,-19,-10,116,-7,-51,546,495,497.5728050889198,-51,-48.42719491108016,2.572805088919836,2.572805088919836,6.619326025571803,546,2601,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,373,-142,627,-21,7,116,-7,-53,540,487,478.257785311321,-53,-61.74221468867904,-8.742214688679042,8.742214688679042,76.4263176629556,540,2809,2,Validacao
2,2,Validacao,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,149,14,452,19,-3,101,17,155,336,491,439.9854979150562,155,103.9854979150562,-51.01450208494384,51.01450208494384,2602.479422974739,336,24025,2,Validacao
2,2,Validacao,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,152,18,461,16,5,106,27,122,367,489,476.9560527070907,122,109.9560527070907,-12.04394729290925,12.04394729290925,145.0566663943761,367,14884,2,Validacao
2,2,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,155,21,475,23,13,114,35,99,387,486,483.9157265144685,99,96.91572651446847,-2.084273485531526,2.084273485531526,4.344195962489735,387,9801,2,Validacao
2,2,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,222,88,493,32,16,119,40,89,400,489,508.5890587428347,89,108.5890587428347,19.58905874283471,19.58905874283471,383.731222430229,400,7921,2,Validacao
2,2,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,347,213,511,36,17,121,41,70,426,496,608.103344784728,70,182.1033447847281,112.1033447847281,112.1033447847281,12567.15991192361,426,4900,2,Validacao
2,2,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,442,307,525,32,14,123,35,62.39999999999998,446.6,509,640.242484596549,62.39999999999998,193.642484596549,131.242484596549,131.242484596549,17224.58976307542,446.6,3893.759999999997,2,Validacao
2,2,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,509,373,532,21,8,126,37,80,465,545,677.4573177260282,80,212.4573177260282,132.4573177260282,132.4573177260282,17544.941019174,465,6400,2,Validacao
2,2,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,558,422,529,4,-3,128,38,142,483,625,710.8233293575046,142,227.8233293575046,85.82332935750458,85.82332935750458,7365.643862006707,483,20164,2,Validacao
2,2,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,591,452,522,-10,-9,132,40,208,491,699,710.1105932760504,208,219.1105932760504,11.11059327605039,11.11059327605039,123.4452829458162,491,43264,2,Validacao
2,2,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,611,472,520,-9,-6,138,44,281,489,770,702.1838522313207,281,213.1838522313207,-67.81614776867934,67.81614776867934,4599.029898183352,489,78961,2,Validacao
2,2,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,623,482,525,3,-2,142,46,348,486,834,711.449456980523,348,225.449456980523,-122.550543019477,122.550543019477,15018.63559436868,486,121104,2,Validacao
2,2,Validacao,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,635,490,545,25,-18,146,45,378,489,867,735.3411947066016,378,246.3411947066016,-131.6588052933984,131.6588052933984,17334.04101128498,489,142884,2,Validacao
2,2,Validacao,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,649,500,604,79,26,150,44,384,496,880,763.1305709762446,384,267.1305709762446,-116.8694290237554,116.8694290237554,13658.4634403386,496,147456,2,Validacao
2,2,Validacao,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,669,517,709,164,93,153,39,377,509,886,795.63063889196,377,286.63063889196,-90.36936110804004,90.36936110804004,8166.62142707534,509,142129,2,Validacao
2,2,Validacao,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,683,528,800,196,84,156,37,343,545,888,872.3847760353128,343,327.3847760353128,-15.61522396468717,15.61522396468717,243.8352194673407,545,117649,2,Validacao
2,2,Validacao,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,698,476,875,166,66,158,37,263,625,888,1010.702599217965,263,385.7025992179654,122.7025992179654,122.7025992179654,15055.92785484464,625,69169,2,Validacao
2,2,Validacao,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,710,363,978,178,89,161,38,184,699,883,1026.647061232198,184,327.647061232198,143.647061232198,143.647061232198,20634.47820064684,699,33856,2,Validacao
2,2,Validacao,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,721,279,1017,142,21,164,38,111,770,881,1039.954114872587,111,269.9541148725871,158.9541148725871,158.9541148725871,25266.4106349276,770,12321,2,Validacao
2,2,Validacao,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,730,221,1027,49,-8,167,39,43,834,877,1042.144882268822,43,208.1448822688219,165.1448822688219,165.1448822688219,27272.83213958305,834,1849,2,Validacao
2,2,Validacao,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,738,180,1031,14,-10,168,36,7,867,874,970.0471795788196,7,103.0471795788196,96.04717957881962,96.04717957881962,9225.060705046026,867,49,2,Validacao
2,2,Validacao,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,752,161,1036,9,-2,168,30,1,880,881,917.6369075494955,1,37.6369075494955,36.6369075494955,36.6369075494955,1342.262994790281,880,1,2,Validacao
2,2,Validacao,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,767,156,1036,5,3,169,27,2,886,888,902.5009116319636,2,16.50091163196362,14.50091163196362,14.50091163196362,210.2764381580178,886,4,2,Validacao
2,2,Validacao,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,783,160,1037,1,8,169,23,5,888,893,892.5534575178881,5,4.553457517888091,-0.4465424821119086,0.4465424821119086,0.1994001883306642,888,25,2,Validacao
2,2,Validacao,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,790,155,1029,-7,-6,169,19,-7,888,881,882.3872813105726,-7,-5.612718689427425,1.387281310572575,1.387281310572575,1.924549434663962,888,49,2,Validacao
2,2,Validacao,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,788,139,1027,-10,-7,168,15,-15,883,868,857.1598509383832,-15,-25.84014906161678,-10.84014906161678,10.84014906161678,117.5088316780713,883,225,2,Validacao
2,2,Validacao,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,783,114,1023,-6,-24,167,11,-25,881,856,853.4000562253727,-25,-27.59994377462726,-2.599943774627263,2.599943774627263,6.759707631223062,881,625,2,Validacao
2,2,Validacao,2023,6,16,20,0,202306162000,2023-06-16 20:00,877,-4,72.73587412587413,770,87,1026,-1,-56,167,9,-34,877,843,831.8535201052885,-34,-45.14647989471155,-11.14647989471155,11.14647989471155,124.2440140432087,877,1156,2,Validacao
2,2,Validacao,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,760,62,1054,31,-77,165,4,-52,874,822,816.8528589551355,-52,-57.1471410448645,-5.147141044864497,5.147141044864497,26.49306093572879,874,2704,2,Validacao
2,2,Validacao,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,744,34,1057,31,-88,163,-1,-80,881,801,834.1104239989145,-80,-46.88957600108552,33.11042399891448,33.11042399891448,1096.300177387892,881,6400,2,Validacao
2,2,Validacao,2023,6,16,23,0,202306162300,2023-06-16 23:00,888,7,64.91483682983682,732,11,1047,-7,-85,163,-4,-101,888,787,828.3844546168287,-101,-59.61554538317125,41.38445461682875,41.38445461682875,1712.673083932358,888,10201,2,Validacao
2,2,Validacao,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,717,-13,1020,-37,-130,162,-6,-122,893,771,816.1782525971263,-122,-76.82174740287371,45.17825259712629,45.17825259712629,2041.074507729748,893,14884,2,Validacao
2,2,Validacao,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,701,-37,1012,-35,-47,160,-8,-127,881,754,765.0032878351377,-127,-115.9967121648623,11.00328783513771,11.00328783513771,121.0723431828896,881,16129,2,Validacao
2,2,Validacao,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,689,-63,996,-24,-26,158,-11,-126,868,742,748.7396675847409,-126,-119.2603324152591,6.739667584740914,6.739667584740914,45.42311915280743,868,15876,2,Validacao
2,2,Validacao,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,677,-90,975,-37,-25,156,-13,-121,856,735,734.7368002645173,-121,-121.2631997354827,-0.2631997354826581,0.2631997354826581,0.06927410075814118,856,14641,2,Validacao
2,2,Validacao,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,664,-119,940,-56,-40,156,-13,-115,843,728,717.1997721459754,-115,-125.8002278540246,-10.80022785402457,10.80022785402457,116.6449216988482,843,13225,2,Validacao
2,2,Validacao,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,620,-150,877,-39,-12,148,-17,-90,771,681,646.3897681619546,-90,-124.6102318380454,-34.61023183804537,34.61023183804537,1197.868147883249,771,8100,2,Validacao
2,2,Validacao,2023,6,17,9,0,202306170900,2023-06-17 09:00,754,-17,27.16734265734265,612,-148,869,-22,-4,146,-17,-88,754,666,631.6507400549697,-88,-122.3492599450303,-34.34925994503033,34.34925994503033,1179.871658771265,754,7744,2,Validacao
2,2,Validacao,2023,6,17,10,0,202306171000,2023-06-17 10:00,742,-12,25.55900932400932,602,-142,867,-10,-5,144,-19,-88,742,654,631.7191968339964,-88,-110.2808031660036,-22.28080316600358,22.28080316600358,496.4341897221951,742,7744,2,Validacao
2,2,Validacao,2023,6,17,11,0,202306171100,2023-06-17 11:00,735,-7,24.90900932400932,594,-138,858,-11,-37,142,-20,-89,735,646,634.052833234075,-89,-100.947166765925,-11.94716676592498,11.94716676592498,142.7347937328223,735,7921,2,Validacao
2,2,Validacao,2023,6,17,12,0,202306171200,2023-06-17 12:00,728,-7,23.76734265734265,586,-131,850,-17,-11,141,-19,-87,728,641,630.8446496627947,-87,-97.15535033720528,-10.15535033720528,10.15535033720528,103.1311404713753,728,7569,2,Validacao
2,2,Validacao,2023,6,17,13,0,202306171300,2023-06-17 13:00,721,-7,22.49234265734265,578,-123,826,-32,-14,139,-19,-83,721,638,626.5929717411931,-83,-94.40702825880692,-11.40702825880692,11.40702825880692,130.1202936972196,721,6889,2,Validacao
2,2,Validacao,2023,6,17,14,0,202306171400,2023-06-17 14:00,711,-10,20.64234265734265,568,-121,809,-41,10,138,-18,-79,711,632,614.2843417314194,-79,-96.71565826858057,-17.71565826858057,17.71565826858057,313.8445478891271,711,6241,2,Validacao
2,2,Validacao,2023,6,17,20,0,202306172000,2023-06-17 20:00,641,-5,6.572342657342655,525,-95,753,-10,9,131,-15,-47,641,594,571.678556639605,-47,-69.32144336039505,-22.32144336039505,22.32144336039505,498.2468336913243,641,2209,2,Validacao
2,2,Validacao,2023,6,17,21,0,202306172100,2023-06-17 21:00,638,-3,6.205675990675988,519,-93,745,-13,17,130,-14,-50,638,588,574.5847389382003,-50,-63.4152610617997,-13.4152610617997,13.4152610617997,179.9692293562391,638,2500,2,Validacao
2,2,Validacao,2023,6,17,22,0,202306172200,2023-06-17 22:00,632,-6,5.577470862470862,512,-90,740,-13,9,129,-13,-51,632,581,562.989745654664,-51,-69.01025434533597,-18.01025434533597,18.01025434533597,324.3692615836931,632,2601,2,Validacao
2,2,Validacao,2023,6,17,23,0,202306172300,2023-06-17 23:00,624,-8,5.171060606060604,505,-89,732,-13,0,128,-13,-50,624,574,551.3901140357442,-50,-72.6098859642558,-22.6098859642558,22.6098859642558,511.2069433166512,624,2500,2,Validacao
2,2,Validacao,2023,6,18,0,0,202306180000,2023-06-18 00:00,620,-4,4.927470862470861,499,-87,722,-18,-8,126,-13,-52,620,568,555.5817137830009,-52,-64.41828621699915,-12.41828621699915,12.41828621699915,154.213832567311,620,2704,2,Validacao
2,2,Validacao,2023,6,18,1,0,202306180100,2023-06-18 01:00,613,-7,4.760804195804194,493,-85,715,-17,2,125,-13,-49,613,564,544.5924846274161,-49,-68.40751537258393,-19.40751537258393,19.40751537258393,376.6516529370816,613,2401,2,Validacao
2,2,Validacao,2023,6,18,7,0,202306180700,2023-06-18 07:00,574,-7,3.007424242424241,458,-74,674,-13,4,121,-10,-65,574,509,515.174726125765,-65,-58.82527387423499,6.174726125765005,6.174726125765005,38.12724272820491,574,4225,2,Validacao
2,2,Validacao,2023,6,18,8,0,202306180800,2023-06-18 08:00,568,-6,2.840757575757575,453,-72,670,-9,-1,121,-9,-58,568,510,512.7962315650149,-58,-55.20376843498514,2.796231565014864,2.796231565014864,7.818910965185475,568,3364,2,Validacao
2,2,Validacao,2023,6,18,9,0,202306180900,2023-06-18 09:00,564,-4,2.632424242424241,447,-72,654,-20,-11,120,-9,-53,564,511,512.9655700163202,-53,-51.03442998367984,1.965570016320157,1.965570016320157,3.863465489056823,564,2809,2,Validacao
2,2,Validacao,2023,6,18,10,0,202306181000,2023-06-18 10:00,559,-5,2.449090909090908,443,-69,629,-41,-20,119,-9,-49,559,510,507.3824074214632,-49,-51.6175925785368,-2.617592578536801,2.617592578536801,6.851790907210938,559,2401,2,Validacao
2,2,Validacao,2023,6,18,11,0,202306181100,2023-06-18 11:00,549,-10,2.321818181818181,438,-67,611,-43,-10,119,-7,-40,549,509,492.8554216566688,-40,-56.1445783433312,-16.1445783433312,16.1445783433312,260.6474098839589,549,1600,2,Validacao
3,3,Teste,2023,7,11,16,0,202307111600,2023-07-11 16:00,433,-3,1.805128205128205,296,-43,519,-5,3,109,-1,-18,433,415,411.3374454761139,-18,-21.66255452388612,-3.662554523886115,3.662554523886115,13.41430564043865,433,324,3,Teste
3,3,Teste,2023,7,11,17,0,202307111700,2023-07-11 17:00,431,-2,4.278205128205128,294,-42,515,-5,0,109,0,-18,431,413,413.1309623876188,-18,-17.86903761238125,0.1309623876187516,0.1309623876187516,0.01715114697080413,431,324,3,Teste
3,3,Teste,2023,7,11,18,0,202307111800,2023-07-11 18:00,428,-3,4.978205128205128,291,-40,514,-5,3,109,0,-17,428,411,409.1055194127686,-17,-18.89448058723144,-1.894480587231442,1.894480587231442,3.589056695396789,428,289,3,Teste
3,3,Teste,2023,7,12,1,0,202307120100,2023-07-12 01:00,413,-2,5.544871794871794,275,-31,498,-5,-1,109,0,-8,413,405,399.5846789582126,-8,-13.41532104178737,-5.415321041787365,5.415321041787365,29.325701985625,413,64,3,Teste
3,3,Teste,2023,7,12,2,0,202307120200,2023-07-12 02:00,411,-2,5.529487179487178,273,-30,498,-3,3,109,0,-5,411,406,398.2827593612958,-5,-12.7172406387042,-7.717240638704197,7.717240638704197,59.55580307566757,411,25,3,Teste
3,3,Teste,2023,7,12,3,0,202307120300,2023-07-12 03:00,409,-2,5.53076923076923,271,-29,495,-3,0,109,0,3,409,412,396.6504909617172,3,-12.3495090382828,-15.3495090382828,15.3495090382828,235.6074277163255,409,9,3,Teste
3,3,Teste,2023,7,12,4,0,202307120400,2023-07-12 04:00,408,-1,5.553205128205127,270,-26,494,-4,2,109,0,9,408,417,398.204187501169,9,-9.79581249883097,-18.79581249883097,18.79581249883097,353.2825674912105,408,81,3,Teste
3,3,Teste,2023,7,12,5,0,202307120500,2023-07-12 05:00,406,-2,8.714743589743588,271,-23,492,-3,2,110,1,19,406,425,397.5156212376552,19,-8.484378762344818,-27.48437876234482,27.48437876234482,755.3910759520309,406,361,3,Teste
3,3,Teste,2023,7,12,6,0,202307120600,2023-07-12 06:00,405,-1,15.76858974358974,276,-15,492,-2,1,111,2,31,405,436,403.7810465585258,31,-1.218953441474241,-32.21895344147424,32.21895344147424,1038.060960863885,405,961,3,Teste
3,3,Teste,2023,7,12,7,0,202307120700,2023-07-12 07:00,405,0,17.38141025641026,284,-5,491,-1,3,112,3,44,405,449,410.3145553122358,44,5.314555312235825,-38.68544468776417,38.68544468776417,1496.563630690061,405,1936,3,Teste
3,3,Teste,2023,7,12,8,0,202307120800,2023-07-12 08:00,405,0,20.40064102564103,290,4,491,-1,1,113,4,59,405,464,414.4130112926487,59,9.413011292648662,-49.58698870735134,49.58698870735134,2458.869449062989,405,3481,3,Teste
3,3,Teste,2023,7,12,9,0,202307120900,2023-07-12 09:00,405,0,26.71794871794872,300,17,492,1,4,116,7,79,405,484,423.8136491398145,79,18.81364913981452,-60.18635086018548,60.18635086018548,3622.39682986535,405,6241,3,Teste
3,3,Teste,2023,7,12,13,0,202307121300,2023-07-12 13:00,425,8,56.69294871794872,367,92,513,16,12,129,20,227,425,652,511.2212278803094,227,86.22122788030936,-140.7787721196906,140.7787721196906,19818.66267952779,425,51529,3,Teste
3,3,Teste,2023,7,12,14,0,202307121400,2023-07-12 14:00,436,11,58.95128205128206,410,137,528,25,17,135,26,316,436,752,552.1649772315011,316,116.1649772315011,-199.8350227684989,199.8350227684989,39934.03632488647,436,99856,3,Teste
3,3,Teste,2023,7,12,15,0,202307121500,2023-07-12 15:00,449,13,65.44294871794872,461,190,550,37,25,144,35,413.6144999999999,449,862.6144999999999,604.5526823961704,413.6144999999999,155.5526823961704,-258.0618176038295,258.0618176038295,66595.90170499215,449,171076.9546102499,3,Teste
3,3,Teste,2023,7,12,17,0,202307121700,2023-07-12 17:00,484,20,72.0096153846154,555,284,621,71,41,179,68,573,484,1057,750.0769845860035,573,266.0769845860035,-306.9230154139965,306.9230154139965,94201.73739082033,484,328329,3,Teste
3,3,Teste,2023,7,12,18,0,202307121800,2023-07-12 18:00,519,35,83.1596153846154,611,335,663,80,43,184,72,587,519,1106,854.6770548209679,587,335.6770548209679,-251.3229451790321,251.3229451790321,63163.22277346277,519,344569,3,Teste
3,3,Teste,2023,7,12,20,0,202307122000,2023-07-12 20:00,600,50,93.64294871794874,732,442,809,146,86,200,84,579,600,1179,1042.28605894989,579,442.2860589498896,-136.7139410501104,136.7139410501104,18690.70167745306,600,335241,3,Teste
3,3,Teste,2023,7,12,21,0,202307122100,2023-07-12 21:00,652,52,93.6596153846154,787,487,923,200,115,206,88,554,652,1206,1114.857314504986,554,462.8573145049863,-91.14268549501367,91.14268549501367,8306.989119242975,652,306916,3,Teste
3,3,Teste,2023,7,12,22,0,202307122200,2023-07-12 22:00,752,100,93.67628205128207,831,520,1115,306,192,209,89,474,752,1226,1334.336396083848,474,582.3363960838476,108.3363960838476,108.3363960838476,11736.77471643631,752,224676,3,Teste
3,3,Teste,2023,7,12,23,0,202307122300,2023-07-12 23:00,862.6144999999999,110.6144999999999,93.94294871794874,865,541,1216,293,100,213,90,377.3855000000001,862.6144999999999,1240,1431.181381742856,377.3855000000001,568.5668817428564,191.1813817428563,191.1813817428563,36550.32072510774,862.6144999999999,142419.8156102501,3,Teste
3,3,Teste,2023,7,13,0,0,202307130000,2023-07-13 00:00,982,119.3855000000001,94.09935897435898,893,554,1279,164,62,214,85,265,982,1247,1504.86758475344,265,522.8675847534403,257.8675847534403,257.8675847534403,66495.6912665727,982,70225,3,Teste
3,3,Teste,2023,7,13,1,0,202307130100,2023-07-13 01:00,1057,75,94.14935897435898,910,543,1325,109,42,214,79,193,1057,1250,1420.004001122739,193,363.0040011227391,170.0040011227391,170.0040011227391,28901.36039774026,1057,37249,3,Teste
3,3,Teste,2023,7,13,2,0,202307130200,2023-07-13 02:00,1106,49,94.09166666666667,928,518,1369,90,38,216,72,143,1106,1249,1356.207501927816,143,250.2075019278159,107.2075019278159,107.2075019278159,11493.44846960265,1106,20449,3,Teste
3,3,Teste,2023,7,13,3,0,202307130300,2023-07-13 03:00,1145,39,94.07628205128205,942,481,1408,83,29,215,51,100,1145,1245,1311.660817791111,100,166.6608177911107,66.66081779111073,66.66081779111073,4443.664628579665,1145,10000,3,Teste
3,3,Teste,2023,7,13,5,0,202307130500,2023-07-13 05:00,1206,27,91.36833333333335,958,403,1452,44,-4,218,34,24,1206,1230,1268.626897189116,24,62.62689718911633,38.62689718911633,38.62689718911633,1492.037186458563,1206,576,3,Teste
3,3,Teste,2023,7,13,6,0,202307130600,2023-07-13 06:00,1226,20,90.75166666666667,958,347,1460,26,-25,219,29,-3,1226,1223,1239.895053778993,-3,13.89505377899332,16.89505377899332,16.89505377899332,285.4428421950763,1226,9,3,Teste
3,3,Teste,2023,7,13,8,0,202307130800,2023-07-13 08:00,1247,7,90.69409090909092,953,221,1457,-3,-44,223,17,-49,1247,1198,1179.689910023292,-49,-67.31008997670847,-18.31008997670847,18.31008997670847,335.2593949551599,1247,2401,3,Teste
3,3,Teste,2023,7,13,10,0,202307131000,2023-07-13 10:00,1249,-1,91.08744755244756,935,104,1450,-7,-85,228,15,-86,1249,1163,1133.197710486667,-86,-115.8022895133327,-29.80228951333265,29.80228951333265,888.1764602364974,1249,7396,3,Teste
